,Name,Count,Amount,Year,Quartile
0,Recharge & bill payments,72550406,14472713558.652578,2018,1
1,Peer-to-peer payments,46982705,147245883542.77402,2018,1
2,Merchant payments,5368669,4656678915.140091,2018,1
3,Financial Services,3762820,815853105.1000277,2018,1
4,Others,5761576,4643217301.269438,2018,1
5,Recharge & bill payments,92033715,24351225616.36898,2018,2
6,Peer-to-peer payments,74558816,264767671095.31842,2018,2
7,Merchant payments,10613941,9052859939.339659,2018,2
8,Financial Services,5186569,1176991419.239996,2018,2
9,Others,4973199,5027454207.140578,2018,2
10,Peer-to-peer payments,202021587,425967421714.0399,2018,3
11,Recharge & bill payments,102290514,31364311860.394596,2018,3
12,Merchant payments,25175938,12433150984.830223,2018,3
13,Financial Services,6218596,891447809.4200314,2018,3
14,Others,5594554,4449556277.54975,2018,3
15,Peer-to-peer payments,200235002,594995709377.7327,2018,4
16,Recharge & bill payments,131917248,39578607327.024284,2018,4
17,Merchant payments,71498510,30497289208.339787,2018,4
18,Financial Services,5216165,868584631.5900131,2018,4
19,Others,8246415,5802659774.449921,2018,4
20,Peer-to-peer payments,404841331,887893108631.5128,2019,1
21,Recharge & bill payments,180504739,55473071028.87885,2019,1
22,Merchant payments,110496541,40575915112.522,2019,1
23,Financial Services,4627353,603852042.0000324,2019,1
24,Others,8526177,5484252454.8204155,2019,1
25,Peer-to-peer payments,384711008,1196425281586.9927,2019,2
26,Recharge & bill payments,209898072,76865848586.98372,2019,2
27,Merchant payments,206467182,73415840739.88434,2019,2
28,Financial Services,2650384,545329308.0899862,2019,2
29,Others,11656557,6969423863.830339,2019,2
30,Peer-to-peer payments,461911865,1440512511470.7004,2019,3
31,Merchant payments,376320628,123209398484.44376,2019,3
32,Recharge & bill payments,240103872,101520929811.06812,2019,3
33,Financial Services,2870292,617120839.9299941,2019,3
34,Others,13804992,6705143103.510092,2019,3
35,Peer-to-peer payments,703497002,1963952535223.0903,2019,4
36,Merchant payments,456578271,174239646473.03162,2019,4
37,Recharge & bill payments,285310032,116344996244.26738,2019,4
38,Financial Services,2476840,551204225.4200497,2019,4
39,Others,12583379,4811822509.649999,2019,4
40,Peer-to-peer payments,693998661,2320557268853.593,2020,1
41,Merchant payments,566355270,231298042209.83606,2020,1
42,Recharge & bill payments,351300991,140373550367.1558,2020,1
43,Financial Services,1358171,773848137.0300016,2020,1
44,Others,10027019,4116905195.8207293,2020,1
45,Peer-to-peer payments,631031364,2243915932390.771,2020,2
46,Recharge & bill payments,448842692,171590686463.15784,2020,2
47,Merchant payments,363275861,226908226049.51398,2020,2
48,Financial Services,1682062,1751767444.1000087,2020,2
49,Others,3779461,1987466180.2098684,2020,2
50,Peer-to-peer payments,916790263,3287051873253.504,2020,3
51,Merchant payments,672019839,405291207894.2984,2020,3
52,Recharge & bill payments,436172619,204262355709.72183,2020,3
53,Financial Services,2531978,2673063432.9600067,2020,3
54,Others,5541374,2789907563.6502213,2020,3
55,Peer-to-peer payments,1249512647,4474548495095.518,2020,4
56,Merchant payments,1127490136,684873639322.252,2020,4
57,Recharge & bill payments,479784084,227875840842.1121,2020,4
58,Financial Services,2942567,3259168195.749941,2020,4
59,Others,9556404,5323095366.309718,2020,4
60,Merchant payments,1467948823,844466633896.8679,2021,1
61,Peer-to-peer payments,1447600942,5170856441552.582,2021,1
62,Recharge & bill payments,530118545,260182440730.4327,2021,1
63,Financial Services,3075296,3573884778.5300817,2021,1
64,Others,8851525,5199901891.8900385,2021,1
65,Peer-to-peer payments,1744272888,6163165772736.494,2021,2
66,Merchant payments,1499626469,1003530942287.5988,2021,2
67,Recharge & bill payments,685024821,300559461295.9022,2021,2
68,Financial Services,3397384,3651996523.4499955,2021,2
69,Others,9061732,5598131364.820071,2021,2
70,Merchant payments,2316924871,1426965558783.5557,2021,3
71,Peer-to-peer payments,2215575286,7429357587018.912,2021,3
72,Recharge & bill payments,714583744,349234592690.4992,2021,3
73,Financial Services,3112160,4043342762.3300233,2021,3
74,Others,13558464,7146868847.2897215,2021,3
75,Merchant payments,3152394530,1995855822160.6426,2021,4
76,Peer-to-peer payments,2716561423,9203910371491.78,2021,4
77,Recharge & bill payments,738096162,407266894783.10693,2021,4
78,Financial Services,4141629,5028434834.240034,2021,4
79,Others,14562602,9296993478.869577,2021,4
80,Merchant payments,3748851071,2272818129376.5205,2022,1
81,Peer-to-peer payments,3074250150,10505936803336.926,2022,1
82,Recharge & bill payments,749674246,447599848131.41187,2022,1
83,Financial Services,4035100,4921211866.489969,2022,1
84,Others,16393502,8422766458.459174,2022,1
85,Merchant payments,4765203787,2847096877386.341,2022,2
86,Peer-to-peer payments,3506141323,12123524700463.535,2022,2
87,Recharge & bill payments,845751926,523046092987.93964,2022,2
88,Financial Services,3272822,3889787479.819907,2022,2
89,Others,11241480,6711034131.16017,2022,2
90,Merchant payments,5618132071,3151614767860.314,2022,3
91,Peer-to-peer payments,3957113406,12837803371386.29,2022,3
92,Recharge & bill payments,956164949,607048699730.3645,2022,3
93,Financial Services,3959631,4514223164.469998,2022,3
94,Others,10005043,6725900102.770244,2022,3
95,Merchant payments,6565690145,3673601044800.037,2022,4
96,Peer-to-peer payments,4459859921,14578874324207.227,2022,4
97,Recharge & bill payments,991049281,649776847580.25,2022,4
98,Financial Services,4623387,5360528394.309982,2022,4
99,Others,10013085,7361492606.590162,2022,4
