,RegisteredUsers,AppOpens,Year,Quartile
0,46877867,0,2018,1
1,63648311,0,2018,2
2,80010952,0,2018,3
3,102262055,0,2018,4
4,123432699,0,2019,1
5,141808226,920413791,2019,2
6,159293934,3448366103,2019,3
7,178279085,4301071954,2019,4
8,197575164,4768944662,2020,1
9,218996326,4357634272,2020,2
10,241169683,5739326491,2020,3
11,264271293,7461623162,2020,4
12,284985430,8635508502,2021,1
13,305258086,9630620549,2021,2
14,328354923,12256377890,2021,3
15,351161395,15172529039,2021,4
16,372951831,15724195113,2022,1
17,393424643,17786667567,2022,2
18,414324881,19223454074,2022,3
19,433947940,21262699669,2022,4
